Title and Description,Description,Updated Date,Request Type,Publisher,Keywords,Current state,Alternative Title,Creator,Time Coverage,Spatial Coverage,Language,Subjects,Update Frequency,Related Documents Titles,Related Documents URLs,Usage Considerations,Contact,Contact Email,Contact Phone,Distribution Type,Distribution Titles,Distribution URLs,Format
Physical Land Classification (PLC) Polygons of the Pembina Grazing Reserve Study Area,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Thursday, May 23, 2013 - 01:40",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, pembina, grazing, reserve",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, January 1, 1980",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfThePembinaGrazingReserveStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfThePembinaGrazingReserveStudyAreaIndex.zip,SHP
Physical Land Classification (PLC) Polygons of the Ram-Clearwater Study Area,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Thursday, May 23, 2013 - 01:40",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, ram, clearwater",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, January 1, 1980",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfTheRamClearwaterStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfTheRamClearwaterStudyAreaIndex.zip,SHP
Physical Land Classification (PLC) Polygons of the Rocky-North Saskatchewan Study Area,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Thursday, May 23, 2013 - 01:40",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, rocky, north, saskatchewan",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, January 1, 1980",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfTheRockyNorthSaskatchewanStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfTheRockyNorthSaskatchewanStudyAreaIndex.zip,SHP
Alberta Vegetation Inventory (AVI) Crown Polygons,"The Alberta Vegetation Inventory (AVI) is a photo-based digital inventory developed to identify the type, extent and conditions of vegetation, where it exists and what changes are occurring. This dataset is a compilation of the original blocks of...","Tuesday, May 28, 2013 - 06:45",Create,Environment and Sustainable Resource Development,"alberta, vegetation, inventory, conditions, crown, aerial, photography, AVI, forest, management, planning, wildfire, wildlife, habitat, classification",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Thursday, January 1, 1987 - Monday, December 1, 2008",,English,Environment and Natural Resources,Other,,,"General Public:  This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data. Government of Alberta Ministries:  Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Resource Analysis Section, Forest Management Branch, Forestry Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5229,Download,AlbertaVegetationInventoryCrownPolygons,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/biota/Vegetation/AlbertaVegetationInventoryCrownPolygonsIndex.zip,SHP
Alberta Vegetation Inventory (AVI) Crown Cutblock Polygons,The Post Inventory Cutblocks for Crown Forest Management Units is a preliminary data set of harvested areas on Crown land with attributes consistent with the Alberta Vegetation Inventory (AVI) 2.1.1 specifications.  The Forest Management Branch is...,"Tuesday, May 28, 2013 - 06:45",Create,Environment and Sustainable Resource Development,"alberta, vegetation, inventory, conditions, crown, aerial, photography, AVI, forest, management, planning, wildfire, wildlife, habitat, classification",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Sunday, January 1, 1989 - Saturday, December 31, 2011",,English,Environment and Natural Resources,Annually,,,"General Public:  This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data. Government of Alberta Ministries:  Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Resource Analysis Section, Forest Management Branch, Forestry Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5292,Download,AlbertaVegetationInventoryCrownCutblockPolygonsIndex,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/biota/Vegetation/AlbertaVegetationInventoryCrownCutblockPolygonsIndex.zip,SHP
Continental Basins,This dataset set is a dissolved version of the Water Survey of Canada Regions and Watersheds of Alberta and shows the continental basins in Alberta. ,"Friday, June 7, 2013 - 12:23",Create,Environment and Sustainable Resource Development,watershed; Water Survey of Canada; basin; sub-basin; catchment; drainage basin; sub-watershed; drainage area; major basin; Water Act,Dataset Management System: Saved (unsubmitted),,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Once,Full GeoDiscover Alberta MetadataSummary GeoDiscover Alberta Metadata,https://maps.srd.alberta.ca/geoportal/catalog/search/resource/styled.page?id={69ECF6B0-F3A0-49FC-8161-617C7AA06262}https://maps.srd.alberta.ca/geoportal/catalog/search/resource/details.page?uuid={69ECF6B0-F3A0-49FC-8161-617C7AA06262},"To connect to and view service layers provided by a WMS you must have a client application (e.g. Google Earth, NASA World Wind, or ESRI ArcMap) or access a web-enabled application (e.g. ArcExplorer Web).",,aenv.gis@gov.ab.ca,,Service,Contiential Basins WMS,http://www.envinfo.gov.ab.ca/ArcGIS/services/wms/Water/MapServer/WMSServer,WMS
Groundwater Activity - Applications,The data includes information collected by Alberta Environment on Approval application and Code of Practice notification forms under the Water Act.  The data includes information collected from plans and reports submitted with the application and...,"Friday, June 7, 2013 - 12:20",Create,Environment and Sustainable Resource Development,Environmental Management System; Water Act; Water; Groundwater; Code of Practice; Notification; Stakeholder; Applicant; Storm Water Outfall; Pipeline Crossing; Telecommunication Line Crossing; Watercourse Crossing; Approval; Activity; Approval Holder,Dataset Management System: Saved (unsubmitted),,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Daily,Full GeoDiscover Alberta MetadataSummary GeoDiscover Alberta Metadata,https://maps.srd.alberta.ca/geoportal/catalog/search/resource/styled.page?id={3EAAA18B-3E5C-4A2A-827B-0BDA0505D856}https://maps.srd.alberta.ca/geoportal/catalog/search/resource/details.page?uuid={3EAAA18B-3E5C-4A2A-827B-0BDA0505D856},"To connect to and view service layers provided by a WMS you must have a client application (e.g. Google Earth, NASA World Wind, or ESRI ArcMap) or access a web-enabled application (e.g. ArcExplorer Web).",,aenv.gis@gov.ab.ca,,Service,Groundwater Activity - Application WMS,http://www.envinfo.gov.ab.ca/arcgis/services/wms/Water/MapServer/WMSServer,WMS
Groundwater Activity - Authorizations,The data includes information collected by Alberta Environment on Approval application and Code of Practice notification forms under the Water Act.  The data includes information collected from plans and reports submitted with the application and...,"Friday, June 7, 2013 - 12:19",Create,Environment and Sustainable Resource Development,Environmental Management System; Water Act; Water; Groundwater; Code of Practice; Notification; Stakeholder; Applicant; Stormwater Outfall; Pipeline Crossing; Telecommunication Line Crossing; Watercourse Crossing;  Activity;  Approval; Approval Holder,Dataset Management System: Saved (unsubmitted),,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Daily,Full GeoDiscover Alberta MetadataSummary GeoDiscover Alberta Metadata,https://maps.srd.alberta.ca/geoportal/catalog/search/resource/styled.page?id={163260D4-FDE8-4B13-BA9F-1AB408A54FB9}https://maps.srd.alberta.ca/geoportal/catalog/search/resource/details.page?uuid={163260D4-FDE8-4B13-BA9F-1AB408A54FB9},"To connect to and view service layers provided by a WMS you must have a client application (e.g. Google Earth, NASA World Wind, or ESRI ArcMap) or access a web-enabled application (e.g. ArcExplorer Web).",,aenv.gis@gov.ab.ca,,Service,Groundwater Activity - Authorizations WMS,http://www.envinfo.gov.ab.ca/arcgis/services/wms/Water/MapServer/WMSServer,WMS
Groundwater Diversion - Applications,The data includes information collected by Alberta Environment on Approval application and Code of Practice notification forms under the Water Act.  The data includes information collected from plans and reports submitted with the application and...,"Friday, June 7, 2013 - 12:17",Create,Environment and Sustainable Resource Development,Environmental Management System; Water Act; Water; Groundwater; Code of Practice; Notification; Stakeholder; Applicant;  Diversion; Consumptive Use; Point of Diversion; Allocation; Licence; Temporary Diversion Licence; Registration; Licence Holder,Dataset Management System: Saved (unsubmitted),,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Daily,Full GeoDiscover Alberta MetadataSummary GeoDiscover Alberta Metadata,https://maps.srd.alberta.ca/geoportal/catalog/search/resource/styled.page?id={EA6EB947-D3F9-4915-9D00-C8805DD6FFFB}https://maps.srd.alberta.ca/geoportal/catalog/search/resource/details.page?uuid={EA6EB947-D3F9-4915-9D00-C8805DD6FFFB},"To connect to and view service layers provided by a WMS you must have a client application (e.g. Google Earth, NASA World Wind, or ESRI ArcMap) or access a web-enabled application (e.g. ArcExplorer Web).",,aenv.gis@gov.ab.ca,,Service,Groundwater Diversions - Applications WMS,http://www.envinfo.gov.ab.ca/arcgis/services/wms/Water/MapServer/WMSServer,WMS
Groundwater Diversion - Authorizations,The data includes information collected by Alberta Environment on Approval application and Code of Practice notification forms under the Water Act.  The data includes information collected from plans and reports submitted with the application and...,"Friday, June 7, 2013 - 12:15",Create,Environment and Sustainable Resource Development,Environmental Management System; Water Act; Water; Groundwater; Code of Practice; Notification; Stakeholder; Applicant; Diversion; Point of Diversion; Consumptive Use; Allocation; Licence; Temporary Diversion Licence; Registration; Licence Holder,Dataset Management System: Saved (unsubmitted),,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Daily,Full GeoDiscover Alberta MetadataSummary GeoDiscover Alberta Metadata,https://maps.srd.alberta.ca/geoportal/catalog/search/resource/styled.page?id={D0975F01-22AA-44D9-A00D-B91B18B5358A}https://maps.srd.alberta.ca/geoportal/catalog/search/resource/details.page?uuid={D0975F01-22AA-44D9-A00D-B91B18B5358A},"To connect to and view service layers provided by a WMS you must have a client application (e.g. Google Earth, NASA World Wind, or ESRI ArcMap) or access a web-enabled application (e.g. ArcExplorer Web).",,aenv.gis@gov.ab.ca,,Service,Groundwater Diversion - Authorizations WMS,http://www.envinfo.gov.ab.ca/arcgis/services/wms/Water/MapServer/WMSServer,WMS
Groundwater Wells,"The Groundwater Information Centre data contains over 500,000 existing and new drilling reports which are added annually.  It contains information about individual water well drilling reports, chemical analysis reports up to the end of 1986, springs...","Saturday, December 6, 2014 - 04:00",Create,Environment and Sustainable Resource Development,"GIC Groundwater Wells, Groundwater Wells, Drilling Reports, Groundwater Information Centre, Wells, Groundwater",Dataset Management System: Saved (unsubmitted),,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Quarterly (every 3 months),Full GeoDiscover Alberta MetadataSummary GeoDiscover Metadata,https://geodiscover.alberta.ca/catalog/search/resource/styled.page?id=%7B2BF5871A-70D8-4B0D-8EAF-FC4AD5B0574D%7Dhttps://geodiscover.alberta.ca/catalog/search/resource/details.page?uuid=%7B2BF5871A-70D8-4B0D-8EAF-FC4AD5B0574D%7D,"To connect to and view service layers provided by a WMS you must have a client application (e.g. Google Earth, NASA World Wind, or ESRI ArcMap) or access a web-enabled application (e.g. ArcExplorer Web).",,aenv.gis@gov.ab.ca,,ServiceLink,Groundwater Wells WMSGeoDiscover Preview,http://www.envinfo.gov.ab.ca/arcgis/services/wms/Water/MapServer/WMSServerhttps://geodiscover.alberta.ca/catalog/search/resource/livedata-preview.page?uuid=%7B2BF5871A-70D8-4B0D-8EAF-FC4AD5B0574D%7D&url=http%3A%2F%2Fwww.envinfo.gov.ab.ca%2Farcgis%2Fservices%2Fwms%2FWater%2FMapServer%2FWMSServer&resourceType=wms&info=%2Fgeoportal%2Frest%2Fdocument%3Ff%3Dhtml%26showRelativeUrl%3Dtrue%26id%3D%257B2BF5871A-70D8-4B0D-8EAF-FC4AD5B0574D%257D,WMSWMS
Major River Basins,This dataset set is a dissolved version of the Water Survey of Canada Regions and Watersheds of Alberta dataset and shows the seven major river basins of Alberta. ,"Friday, June 7, 2013 - 12:10",Create,Environment and Sustainable Resource Development,watershed; Water Survey of Canada; basin; sub-basin; catchment; drainage basin; sub-watershed; drainage area; major basin; Water Act,Dataset Management System: Saved (unsubmitted),,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Once,Full GeoDiscover Alberta MetadataSummary GeoDiscover Alberta Metadata,https://maps.srd.alberta.ca/geoportal/catalog/search/resource/styled.page?id={B273ADFB-BF8E-47F0-B60D-412A62B576AB}https://maps.srd.alberta.ca/geoportal/catalog/search/resource/details.page?uuid={B273ADFB-BF8E-47F0-B60D-412A62B576AB},"To connect to and view service layers provided by a WMS you must have a client application (e.g. Google Earth, NASA World Wind, or ESRI ArcMap) or access a web-enabled application (e.g. ArcExplorer Web).",,aenv.gis@gov.ab.ca,,Service,Major Basins WMS,http://www.envinfo.gov.ab.ca/ArcGIS/services/wms/Water/MapServer/WMSServer,WMS
Major Sub-watersheds,This dataset set is a dissolved version of the Water Survey of Canada Regions and Watersheds of Alberta and shows the major sub-watersheds in Alberta.,"Friday, June 7, 2013 - 12:08",Create,Environment and Sustainable Resource Development,watershed; Water Survey of Canada; basin; sub-basin; catchment; drainage basin; sub-watershed; drainage area; major basin;  Water Act,Dataset Management System: Saved (unsubmitted),,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Once,Full GeoDiscover Alberta MetadataSummary GeoDiscover Alberta Metadata,https://maps.srd.alberta.ca/geoportal/catalog/search/resource/styled.page?id={E2309D37-7DE4-4D79-839B-DE406FE14758}https://maps.srd.alberta.ca/geoportal/catalog/search/resource/details.page?uuid={E2309D37-7DE4-4D79-839B-DE406FE14758},"To connect to and view service layers provided by a WMS you must have a client application (e.g. Google Earth, NASA World Wind, or ESRI ArcMap) or access a web-enabled application (e.g. ArcExplorer Web).",,aenv.gis@gov.ab.ca,,Service,Major Sub-watersheds WMS,http://www.envinfo.gov.ab.ca/ArcGIS/services/wms/Water/MapServer/WMSServer,WMS
Minor Sub-watersheds (Water Survey of Canada Regions),The Water Survey of Canada Regions and Watersheds of Alberta is a digital spatial database depicting various classification levels of watersheds and drainage basins within the province of Alberta as interpreted by Alberta Environment.,"Friday, June 7, 2013 - 12:06",Create,Environment and Sustainable Resource Development,watershed; Water Survey of Canada; basin; sub-basin; catchment; drainage basin; sub-watershed; drainage area; major basin; Water Act,Dataset Management System: Saved (unsubmitted),,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Once,Full GeoDiscover Alberta MetadataSummary GeoDiscover Alberta Metadata,https://maps.srd.alberta.ca/geoportal/catalog/search/resource/styled.page?id={C03DADC6-F99D-4491-871B-465ED11E5204}https://maps.srd.alberta.ca/geoportal/catalog/search/resource/details.page?uuid={C03DADC6-F99D-4491-871B-465ED11E5204},"To connect to and view service layers provided by a WMS you must have a client application (e.g. Google Earth, NASA World Wind, or ESRI ArcMap) or access a web-enabled application (e.g. ArcExplorer Web).",,aenv.gis@gov.ab.ca,,Service,Minor Sub-watersheds WMS,http://www.envinfo.gov.ab.ca/ArcGIS/services/wms/Water/MapServer/WMSServer,WMS
Sub-continental Basins,This dataset set is a dissolved version of the Water Survey of Canada Regions and Watersheds of Alberta and shows the sub-continental basins in Alberta.,"Friday, June 7, 2013 - 12:02",Create,Environment and Sustainable Resource Development,watershed; Water Survey of Canada; basin; sub-basin; catchment; drainage basin; sub-watershed; drainage area; major basin; Water Act,Dataset Management System: Saved (unsubmitted),,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Once,Full GeoDiscover Alberta MetadataSummary GeoDiscover Alberta Metadata,https://maps.srd.alberta.ca/geoportal/catalog/search/resource/styled.page?id={70F8FBEA-7F8A-4B95-8C23-6CF73C0E0B6E}https://maps.srd.alberta.ca/geoportal/catalog/search/resource/details.page?uuid={70F8FBEA-7F8A-4B95-8C23-6CF73C0E0B6E},"To connect to and view service layers provided by a WMS you must have a client application (e.g. Google Earth, NASA World Wind, or ESRI ArcMap) or access a web-enabled application (e.g. ArcExplorer Web).",,aenv.gis@gov.ab.ca,,Service,Sub-continental Basins WMS,http://www.envinfo.gov.ab.ca/ArcGIS/services/wms/Water/MapServer/WMSServer,WMS
